"","value","gmLI_pLI_diff","inLI_pLI_diff","inLI_exLI_diff"
"389","458690","0.0772285714285715","0.0535785714285715","0.08445"
"390","458708","-0.121904899598394","-0.0981843198882486","-0.060209420289855"
"391","458730","0.0310791071428573","-0.0210450105042015","-0.384404117647059"
"392","458731","0.0888442432432432","-0.00210532716049383","NaN"
"393","458913","-0.0662374020156774","-0.00964835277968423","NaN"
"394","458919","-0.139238748095832","-0.108728555398063","-0.185872565922921"
"395","459429","0.0742907270811379","0.0704948546608752","-0.320044590368981"
"396","459431","-0.130438235294118","-0.0221230837789661","NaN"
"397","459964","0.0911979365079365","-0.00538529290853029","NaN"
"398","459967","-0.215055519897304","-0.0576249530956848","0.0412253036437247"
"399","459987","-0.407863566433566","-0.252758414376321","-0.186005617173524"
"400","460003","-0.407345","0","NaN"
"401","460008","-0.0336398692810458","0.0831823529411765","0.252655555555556"
"402","460024","-0.108176193685021","-0.0877896146466262","-0.155862400553442"
"403","460026","0.163275484803164","0","NaN"
"404","460055","-0.0746795518207284","0","NaN"
"405","460059","0.290509044289044","0.163307945804196","0.326788901515151"
"406","460060","0.0340771084337348","0","NaN"
"407","460075","0.0102356609049313","-0.00302701766649727","NaN"
"408","460077","-0.0935334571037717","0","NaN"
"409","460086","0.0365879727372865","-0.00211332004887466","NaN"
"410","460099","0.0625234085862324","0","NaN"
"411","460131","-0.00751997019374051","-0.014413606557377","NaN"
"412","460156","-0.0258067436612239","-0.00147701724227756","-0.26930253164557"
"413","460269","0.00166135693215341","-0.0145134178426214","NaN"
"414","460283","-0.321313333333333","-0.341575833333334","-0.974719642857143"
"415","460576","0.105257295136576","0","NaN"
"416","460701","-0.404434013605442","-0.359128982158901","-0.127761635220126"
"417","461235","0.0756032118226602","-0.00203851363140672","NaN"
"418","461314","0.175504086256423","0","NaN"
"419","461325","0.0559714604236343","0.0494652744922097","-0.775232272887946"
"420","461416","0.0149365980494123","0.000392150107333067","NaN"
"421","461815","-0.0281114663256607","-0.0137895319560581","-1.08186139896373"
"422","461829","0.231845639778301","0.147629122578461","0.596731869896935"
"423","461833","0.0646529271206691","0.0286566308243728","0.0470555555555556"
"424","461858","0.0641611210526316","-0.00156483205128199","NaN"
"425","461865","0.0442925176803395","-0.00478391089108909","NaN"
"426","461872","-0.0556736065573771","-0.015546106557377","0.0697575"
"427","462089","0.46495","0.46495","1.4537"
"428","462101","0.0479224348159509","-0.00426411468327859","NaN"
"429","462136","0.0140577053962081","-0.0046880629111149","0.0639130552220888"
"430","462382","0.132497698000769","0.121391725778547","-0.254218472222222"
"431","462515","0.00404087301587297","0.075335873015873","0.0258164285714285"
"432","462564","0.0359085458905601","0","NaN"
"433","462945","-0.17201046847889","-0.0185847374847374","0.154452046783626"
"434","462985","-0.19778093516791","-0.120254706554878","-0.118373771386968"
"435","463610","-0.339527777777778","-0.0178413043478262","NaN"
"436","464416","-0.237510104529617","0.00947106430155209","-0.20949025974026"
"437","465041","0.15021860771517","-0.00200202011505501","NaN"
"438","465629","-0.119140178571429","-0.0769084325396825","-0.319566213151927"
"439","465657","0.115002222222222","0.113452368421052","-0.965094298245614"
"440","465674","-0.135388754385965","0","NaN"
"441","465679","0.00108923611111111","0.104708428030303","-0.299380808080808"
"442","465753","0.117276363636364","0","NaN"
"443","465784","0.0246014285714286","0","NaN"
"444","466320","0.191176533736604","0","NaN"
"445","466948","-0.112453584383038","0.0104535091511746","0.0598511613308225"
"446","466988","-0.0585263914946843","0","NaN"
"447","467008","0.00505035218156924","0.00328522893040328","-0.20053091272485"
"448","467055","0.0268004562303964","0","NaN"
"449","467070","0.177398613896689","0","NaN"
"450","467092","0.0381551938522715","0","NaN"
"451","467094","0.0509530092592593","0.0854330397470642","-0.00931371951219517"
"452","467100","0.0754105164992827","0.107662797411648","0.0248169867947179"
"453","467143","-0.0192240792821748","0","NaN"
"454","467785","0.509157476635514","0.452965168943206","-0.549963736263736"
"455","467793","-0.0101422322775264","-0.00144193016272265","NaN"
"456","467798","-0.1524355","0","NaN"
"457","467827","0.0143784893707198","-0.0063775007916681","NaN"
"458","468396","-0.11780367215704","-0.0349081758335104","-0.118265441176471"
"459","468406","-0.11037078245138","0.00390449883449873","NaN"
"460","468504","0.0609149999999999","0.0353360810810811","0.807381081081081"
"461","469134","0.047242470760234","0.00419088345864671","-0.117907142857143"
"462","471083","-0.025424646017699","0","NaN"
"463","471822","-0.0146025853690146","-0.0248329380764165","-0.225458221559861"
